"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"亚美尼亚","ARM","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1320228","1308264","1286672","1259961","1234262","1214017","1204607","1201570","1203778","1208860","1214690","1223514","1231891","1239287","1245098","1248900","1247702","1244998","1234269","1246646","1304215","1335948","1344874","1355000","1342620","1329447","1304794","1298421","1245611","1267732","1202591",
"美属萨摩亚","ASM","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"安提瓜和巴布达","ATG","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"澳大利亚","AUS","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8475893","8524976","8601726","8634061","8799677","9006036","9132954","9193437","9291229","9380756","9567850","9750034","9906614","10093366","10217131","10531732","10778084","10941713","11234490","11475961","11664656","11832782","11998883","12177653","12320637","12556562","12718524","12976329","13249617","13504175","13481621",
"奥地利","AUT","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3535944","3596234","3676557","3702601","3861784","3886752","3853787","3840046","3883217","3912038","3912110","3906172","3981298","4019254","3921984","4048663","4115134","4201792","4245798","4290315","4308084","4338951","4386197","4429550","4451602","4506852","4589908","4619411","4649702","4666182","4637991",
"阿塞拜疆","AZE","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3483013","3522081","3650669","3803199","3950444","4062570","4119397","4161330","4192532","4239175","4274824","4256140","4237050","4221419","4206541","4234446","4237901","4335205","4424004","4466497","4528109","4572791","4627324","4702401","4791071","4876104","4969576","5033710","5091128","5103475","4846887",
"布隆迪","BDI","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2558769","2564818","2573412","2583083","2592338","2601482","2607017","2611642","2620582","2651693","2697055","2782275","2882004","2993327","3111691","3233143","3352425","3476102","3601032","3723694","3842129","3943624","4042457","4140069","4239621","4370030","4508039","4654229","4808244","4969385","5089758",
"比利时","BEL","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3954511","4049505","4096527","4119495","4180545","4206654","4204821","4227334","4268779","4372475","4418785","4321924","4371677","4407165","4488316","4627254","4644197","4724271","4773360","4796084","4896640","4878828","4912649","4963617","4979700","4988278","4994033","5081005","5136194","5182914","5160979",
"贝宁","BEN","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1947748","2014551","2087438","2164152","2243407","2323886","2394635","2467343","2542712","2621882","2705727","2790770","2881278","2978736","3079953","3184049","3282301","3383679","3488763","3598159","3712416","3825604","3942161","4063769","4189856","4320200","4451938","4588876","4730774","4877483","4985420",
"布基纳法索","BFA","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3899748","3999978","4077387","4160309","4248494","4341483","4423530","4512176","4605787","4702685","4802017","4890006","4982834","5079908","5180735","5284777","5378297","5481494","5588842","5699835","5813865","5918602","6028928","6142819","6258435","6464546","6674993","6892699","7118594","7354219","7534642",
