"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"中歐和波羅的海","CEB","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50142095438","60985922160","54144205766","65073298805","78182097879","72098577185","76527105684","82021232971","76742018688","79831162037","89485794945","102843367888","102071311993","104958607929",
"瑞士","CHE","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36269172451","43518277631","40497958589","43607937733","51148249707","51279423381","54346224274","57101558039","53795508115","55536701007","29833875320","30114429672","29872167052","29244241826",
"海峡群岛","CHI","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"智利","CHL","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","653061723","693423659","461286300","538384073","554636419","573574728","728773021","759305118","605335923","733408028","623449353","679146612","674588733","1363952365",
"中国","CHN","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342573987443","390966878939","359238439786","474347231325","540167518883","593857574189","655897279819","653847630119","652212445309","594520852405","654156814169","731842123479","715805237625","757682663756",
"科特迪瓦","CIV","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186083376","197108464","70491477","176346418","96850645","165473504","241143811","187851822","126534585","137431113","78785574","141805003","",
"喀麦隆","CMR","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13489549","27496793","14036843","11759707","30197985","16426309","","",
"刚果（金）","COD","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63192020","5559881","9337454","26163469","32092118","17445949",
"刚果（布）","COG","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49499678","53837390","71754301","82791346","40589382","29719759","37906536",
"哥伦比亚","COL","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360292044","475948286","492118042","451119244","433809515","565873203","773381756","762807177","823794430","766932655","692526499","603546789","753151202","689645035",
