Country Name,Country Code,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
加纳,GHA,308.0267377,341.4000979,386.367505,393.5748723,371.5221372,384.051085,393.5374437,323.7879317,390.2707907,416.1499088,409.9297101,370.5629645,163.7088412,92.78023844,162.9429292,258.1117779,287.1158479,303.0032092,306.2687059,323.5572562,336.0215054,350.9154114,336.0701559,336.1374576,349.534485,361.8037826,386.7892622,270.3577389,354.6071205,326.1605334,332.0354089,305.9806851,217.9244761,216.901507,242.7726544,293.2205767,241.2912833,261.2902689,260.105698,277.4861626,315.1524519,342.200517,375.9446394,351.3014757
洪都拉斯,HND,126.5132901,126.9906478,143.4837173,148.4026288,155.7122615,162.4043222,181.3396166,181.6025091,205.7947195,210.6966474,224.3652783,221.1913031,231.4370954,238.2749471,282.6332166,279.3479764,326.2723189,337.8217298,331.4851031,367.8887785,351.6655768,328.5235678,341.8349642,304.5610815,353.8266705,401.3744095,414.0129917,443.2187293,444.7299887,488.401417,495.4152246,516.6491636,540.2231224,538.9297446,573.402644,583.9439005,634.9474676,656.0618372,624.3574235,617.8563738,663.9805581,636.6388248,643.17606,619.837087
伊拉克,IRQ,259.3640919,259.9139727,305.2720473,323.7252413,365.2677602,412.3899268,485.1525739,578.740872,726.519516,792.0401648,734.4001384,899.4304923,1037.821283,1216.953133,1280.807868,1330.817981,1312.167406,1339.36749,1333.337884,1308.907061,1096.176368,1310.45703,1325.870992,1374.047896,1419.748595,1376.456696,1360.101334,1318.602011,1278.831769,1240.978383,1240.696429,1264.924541,1040.105944,1202.257155,836.5190777,981.8521659,782.0504727,769.3652084,863.1092566,1237.039488,1314.226173,1141.140994,1427.720026,1328.230493
意大利,ITA,2152.773938,2295.493059,2457.726839,2537.285386,2476.362214,2710.457936,2776.818135,2891.044192,3040.959609,3104.854578,3096.934737,3132.771223,3134.392335,3304.327409,3391.669627,3490.343116,3662.666562,3825.917783,4007.179517,4144.907442,4224.740106,4310.537968,4303.645312,4439.319253,4597.892598,4658.700157,4791.285246,4955.721944,5079.492406,5299.856479,5406.491722,5539.703837,5652.519542,5687.997573,5731.101557,5833.467297,5804.325964,5757.960611,5368.390567,5493.711037,5514.803615,5397.741477,5159.183655,5002.40668
利比亚,LBY,178.6241631,191.1933343,370.2554845,426.8998126,539.8588201,647.9839169,775.7432112,885.8374101,1051.110787,1120.062917,1085.197081,1055.038109,1030.242771,1011.286696,998.5076596,1048.915774,1429.295497,1534.433168,1497.134977,1576.860807,1657.701114,1752.995552,1808.571536,1820.439719,1770.531661,1787.666945,1802.849859,2097.070221,2176.681569,2221.768893,2255.638131,2772.144477,2947.756846,3106.216057,3427.887521,3792.335287,3792.771825,3156.431865,3142.328146,3361.748865,2839.083797,2241.259636,2320.599334,1811.054601
卢森堡,LUX,11871.35135,11661.85805,11796.26195,13108.01296,10642.15072,11487.78453,10443.93648,10806.42087,10982.31805,10784.01758,11089.05469,10992.40818,11137.1854,11737.76906,12064.16039,12159.46573,12275.118,13423.48373,13537.5232,13667.67055,14087.8553,12927.90208,12632.24102,13665.07415,14920.77088,14629.73022,15134.10418,15460.32494,14990.41756,15668.11827,15616.32977,15980.2768,16258.88449,16300.11242,15644.14672,16456.60412,16352.3218,15937.78778,14425.96473,16829.96254,15586.08423,14703.94353,14193.16843,13914.67845
毛里求斯,MUS,146.5629208,160.78812,180.384566,201.58489,211.8834081,249.3086099,280.0150644,279.5932293,309.5101738,299.1597648,295.7789287,294.2003242,301.4901801,301.3175976,313.5631751,347.1546929,388.0001776,436.1416703,482.2784088,670.5862908,728.7907866,780.1254287,820.1397154,857.2614719,945.2477912,1021.167623,1108.610762,1205.596934,1226.955237,1363.24611,1453.664547,1473.492493,1561.765991,1614.246648,1683.690833,1743.117482,1816.671103,1881.649775,1907.12257,1995.361484,2025.704166,2075.035712,2148.328411,2182.509156
尼日利亚,NGA,28.57043725,32.72774895,35.2992363,32.84846076,45.77566148,51.5781796,59.1787877,60.68837566,59.82247397,68.0570943,50.90103784,81.89592594,81.73535221,62.06356225,80.4544837,90.88641197,89.30353228,87.13950744,97.07070111,87.07894453,89.59979699,90.05437487,100.8853382,95.56127199,91.48820715,85.90498293,82.00415836,76.96886384,75.76719632,74.49061979,75.56977626,104.6610449,101.9252114,123.6324865,129.3270312,111.7524163,138.9094166,127.2446137,120.6350712,136.4262652,150.1980159,156.7971517,142.729212,144.5254385
巴拿马,PAN,525.2406607,570.9676035,630.2897155,617.401663,634.9053544,676.0117428,714.9837523,695.7021949,796.3539622,773.3174155,787.7727404,836.6493904,903.9226378,858.3948063,892.6640231,917.787084,963.2228323,870.1504208,831.1895724,833.2840944,877.8830929,910.3441101,958.7067764,1012.250956,1062.9029,1084.651061,1173.479024,1180.846322,1219.373875,1266.527474,1289.146538,1324.147917,1359.589861,1424.133683,1455.158245,1478.031638,1571.950542,1626.754307,1639.465637,1745.138416,1824.64274,1955.373564,2018.539169,2064.177914
葡萄牙,PRT,835.2850312,911.5420668,994.7759206,1080.946476,1075.82694,1136.940575,1248.985398,1343.656004,1466.474628,1558.52076,1567.295974,1644.711122,1740.031623,1774.268544,1873.176867,1974.536552,2057.72046,2201.782305,2399.30035,2541.865759,2676.643674,2815.877106,2803.202312,2870.833031,3076.846048,3195.864047,3352.465833,3545.010352,3795.22928,3988.960824,4119.670488,4271.168528,4375.732217,4533.539695,4682.991013,4827.467182,4890.560188,4850.837413,4843.849694,4959.094305,4848.279337,4736.351771,4685.054787,4662.6008
