Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
伊拉克,IRQ,,1887.224162,2067.699204,2395.70571,2858.219229,3176.627856,3555.629872,3503.261817,2334.533495,2321.965538,2309.397581,2469.186704,2154.162343,2255.026273,2064.934928,2343.553662,2305.594483,2317.200229,2734.144497,3109.007652,3066.546115,9007.81609,3838.305818,3926.474583,4014.643348,4102.812113,4190.980878,4279.149643,4367.318408,4455.487173,4543.655938,4631.824703,4719.993468,4808.162233,269.837367,1007.487614,1195.93675,1657.985998,2347.980509,3656.855526,3213.017267,3731.384699,4582.438839,5324.238576,5547.809784,5259.894119,3989.637334,3817.553598,4057.354151,4359.27789,4545.382634
意大利,ITA,,1887.224162,2067.699204,2395.70571,2858.219229,3176.627856,3555.629872,3503.261817,3998.102512,4890.94883,6140.872518,7338.902772,6483.219251,6407.55658,6658.342288,6586.778458,6778.618199,9608.771702,12137.33545,13453.60928,13960.87487,17611.39387,18520.47438,19499.91592,15675.49572,16155.60022,17382.9557,19505.42639,18552.96932,18943.67959,18730.66588,17038.98528,17378.23203,18791.95226,23138.18525,26385.08138,27050.41056,28308.55095,31792.76563,33666.14393,30590.75665,29580.79247,31631.01006,28560.67078,28932.66372,29020.79553,24525.62464,25533.52,26863.25669,28888.05341,27895.07427
利比亚,LBY,,921.5119822,713.3755043,1208.947305,1325.617586,1123.851413,1166.642142,1303.788374,1548.677956,1539.777131,1403.111825,1281.419956,1395.791935,1398.334323,1294.26707,1256.682791,1213.946693,1184.130939,1188.228143,1168.753145,1153.189694,1583.074345,1522.421679,1648.834735,1615.579637,1586.145369,1672.244229,1791.056671,1874.40982,1832.131007,1897.74166,1362.004838,2049.005067,2674.112375,3389.509384,4048.112833,5515.083295,6277.07974,7852.610425,9737.717935,7575.02103,8472.792165,4838.488276,9290.662235,8386.87586,5744.563443,4062.484075,3752.958063,5122.395192,6685.185116,6414.603716
卢森堡,LUX,,2205.366093,2212.199244,2944.291959,3852.144461,5042.683101,5329.028206,6395.931213,7368.28806,9235.461578,10639.38031,11869.41531,10519.54747,10985.16278,11135.61092,10716.71165,11141.60931,15820.5275,19743.82036,21806.33821,22793.46617,29160.46254,31724.71068,34516.52898,34373.45043,35924.78288,43405.26072,42746.89518,39414.39789,38663.07754,41080.38164,37590.67808,37665.64261,39315.03627,46800.082,61575.24919,66089.99501,64154.28951,81406.9763,82162.70286,56925.20163,63037.10997,66186.59473,61091.89405,62549.61639,65231.40325,53985.97164,54016.83227,56321.91597,60224.55128,60409.14554
毛里求斯,MUS,,688.8718946,805.9249794,859.4369641,957.1658829,1060.159926,1177.509388,749.0249788,850.1326793,1028.56084,1190.939548,1084.918776,1058.729078,986.8501044,995.8761388,942.0266444,967.1798986,1316.018982,1715.792191,1926.178328,1966.034752,2364.662417,2530.206396,2789.317635,2752.689051,2891.293881,3205.027169,3429.87968,3177.235001,3120.176438,3225.773799,3450.502281,3433.030736,3604.045282,4280.169067,4836.946621,4725.709485,5159.678022,6089.977536,7243.205199,6359.871886,6661.96645,7511.327237,8004.497448,8782.535137,9345.899134,8660.560937,9158.82775,10134.91331,11112.66484,11071.05449
尼日利亚,NGA,,190.4958566,130.7658999,169.219689,201.0490568,269.311637,323.0967302,411.5237963,391.773411,402.0748872,391.8011392,571.3993798,1826.065134,1574.367048,1032.301212,738.7001881,708.7647094,525.4856774,467.0575046,452.6249147,336.8053559,396.3454488,378.7006905,348.0196786,175.2465309,231.896062,305.6593224,342.2767881,367.6672159,380.1081623,408.4170656,399.7600437,460.1083137,593.3542966,618.8521455,752.0845793,926.2422864,1318.827717,1469.909003,1725.4529,1510.92726,1740.644583,1840.74929,2070.966466,2292.045777,2472.051868,2221.68002,1814.332053,1596.352376,1586.547504,1779.188548
巴拿马,PAN,,688.8718946,805.9249794,859.4369641,957.1658829,1060.159926,1177.509388,1192.031419,1222.476143,1422.678161,1558.057573,1871.721193,2053.640619,2338.432395,2495.39273,2423.282916,2616.880235,2507.685974,2827.095912,2248.836317,2153.753824,2306.491661,2398.246522,2768.097065,2993.880073,3169.97546,3099.054449,3170.626481,3300.825017,3511.213825,3535.450599,3576.213089,3538.736579,3745.243436,3759.177941,3991.277831,4229.3628,4573.893132,5369.324827,6300.92709,6757.963079,6978.106456,8313.02123,9431.366482,10488.29454,10993.08847,11956.80202,12420.60699,13240.93428,13143.01027,13274.437
葡萄牙,PRT,,775.5261721,880.8450679,1077.033963,1478.462492,1716.080094,1789.693509,1846.47812,1919.992435,2030.892305,2287.955811,2792.03599,2658.741439,2455.467138,2193.012373,1996.270419,2161.000603,3162.954713,3984.646152,4707.28938,5118.917463,6737.497483,7709.65113,9411.201354,8280.950908,8608.270489,10058.28885,10397.17418,9824.282938,10371.98049,10597.47083,9574.501212,9724.119458,10674.46764,13107.74469,14926.18102,15501.96512,16065.25775,18499.72506,19904.31673,18382.57445,17953.38072,18724.62003,16384.42587,17593.46769,17767.657,15408.36927,16047.87964,17264.96984,18840.14227,18590.61919
新加坡,SGP,,572.7935129,996.4603322,1167.463493,1515.742591,2062.964414,2262.396441,2431.379058,2470.486533,2790.19825,3404.166979,4018.29251,4495.981499,4891.63251,5500.869497,6169.869015,5986.052752,5669.551819,6076.821113,7407.678825,8792.682996,10055.61628,12223.13571,13817.96292,15268.97797,18720.71133,21973.08132,22808.69908,23698.85613,19070.82445,18821.79993,20364.96656,18219.5161,18181.58595,19206.73482,21554.79282,23595.83822,27993.98018,33054.76,32581.0674,30804.32537,40434.885,44885.73283,45541.58172,45940.90588,47477.78921,43447.10009,44578.57833,47060.85503,49451.0366,48343.59725
撒哈拉以南非洲地区（不包括高收入）,SSA,,99.56160116,99.56160116,99.56160116,99.56160116,157.9171889,207.7381704,244.6115425,324.4493459,361.9055184,398.1960901,521.5811251,803.2998288,717.2398592,598.9664474,503.1875539,444.0466246,443.7382982,482.0354003,495.1891597,466.1817454,511.7857844,526.2681699,502.5902624,452.943876,435.466015,491.105528,497.6080962,507.7251197,486.2225416,480.0655154,475.6840987,447.3738308,477.2698434,582.0439176,692.0447533,784.6648858,910.0588265,1005.86524,1073.623684,1072.571834,1199.638678,1296.129356,1358.004769,1429.44824,1476.088849,1372.044499,1239.412148,1263.777881,1271.474807,1288.058162
南亚 (IBRD与IDA),TSA,,106.9452812,113.0602884,114.3726709,126.7572661,149.3565917,154.3226133,147.0393956,165.1702475,184.4205153,201.6638456,238.8434385,245.368139,246.0766028,254.9141502,247.2567348,260.8004649,271.2537844,293.2951172,307.8622553,303.0693167,317.6476495,275.4222967,286.2375811,278.5947496,310.6028789,337.4668788,362.7630285,372.3189417,372.2685588,390.4660501,400.5105636,403.5720376,416.3801506,478.7981401,543.5386695,609.6501479,681.2105278,841.0816868,832.3212869,916.5023709,1103.473526,1200.155463,1200.603033,1213.518062,1320.303125,1371.321831,1458.888907,1656.172775,1683.489794,1724.548591
乌拉圭,URY,,615.3909414,921.5119822,713.3755043,1208.947305,1325.617586,1123.851413,1166.642142,1303.788374,1548.677956,2258.409883,3057.198841,3435.482098,2812.232486,1491.481358,1379.775135,1325.363081,1675.476227,2104.870772,2340.704668,2387.02725,2636.754282,3197.762477,3652.273062,4258.728744,4914.980505,5365.258254,5671.047298,6608.715243,6951.439524,6577.2126,6270.805817,5739.323535,3781.638617,3169.751922,3583.282917,4620.662191,5231.544676,6242.602164,7950.035437,8261.451309,10337.66041,12394.82666,12640.23355,14476.76608,14140.2238,13332.47567,13084.14129,14527.46089,14308.11629,13626.1881
美国,USA,,4551.718088,4861.494675,5307.241117,5886.332023,6135.965981,6542.482173,7217.547268,7963.228021,8908.223544,9532.397395,10126.53401,11448.76209,12066.45456,12755.32399,14277.8488,15150.66132,15826.37755,16737.56438,18183.0734,19114.68122,19863.38159,20250.4156,21146.72653,21839.08064,23032.56777,24102.10356,25320.40314,26815.46669,28286.76174,29584.91686,31195.07007,31880.99535,32534.92263,33615.49363,35531.67342,37543.13651,39741.04426,40505.88271,40046.04789,39039.0491,40995.93539,42619.07115,44727.35917,45665.50683,47701.37423,49219.52785,49653.91027,51313.85553,53540.3508,55419.38641
